sku,rmsse,weight,weighted_error,active_days,total_qty,last_7_qty,last_28_qty,last_56_qty,last_84_qty
SKU-01408,0.1221969559062429,0.0004416199112119358,5.396460881768382e-05,162,162.0,0.0,1.0,3.0,5.0
SKU-08542,1.849943534757256,2.905478864577372e-05,5.374971840898762e-05,7,6.0,0.0,0.0,0.0,0.0
SKU-14447,0.2435655782449644,0.0002204295239953355,5.368904447418614e-05,351,955.0,3.0,16.0,21.0,35.0
SKU-06446,4.584772523125576,1.170394815501616e-05,5.3659939913204365e-05,3,3.0,0.0,1.0,1.0,1.0
SKU-15331,0.7575094955881908,7.046808582602199e-05,5.3380244149135256e-05,89,215.0,2.0,7.0,13.0,13.0
SKU-00436,0.6154171428066956,8.669363550832654e-05,5.335274946405941e-05,49,67.0,0.0,1.0,2.0,2.0
SKU-14698,4.92266319807678,1.0837623040168787e-05,5.334996809446787e-05,16,36.0,0.0,2.0,7.0,18.0
SKU-15319,1.797857060173275,2.9656879122294464e-05,5.33188295127225e-05,25,92.0,0.0,3.0,9.0,9.0
SKU-09687,0.33217952342540796,0.00016050935348602575,5.3317920546308375e-05,36,76.0,0.0,0.0,0.0,6.0
SKU-05871,0.47312504260143445,0.00011269113933191879,5.331700009721826e-05,74,80.0,1.0,2.0,3.0,3.0
SKU-14307,0.4933824008357334,0.00010800992075399574,5.329019401568373e-05,200,296.0,1.0,2.0,8.0,14.0
SKU-00085,1.0990139758662993,4.844865535386963e-05,5.324574934583233e-05,20,25.0,0.0,3.0,9.0,11.0
SKU-09527,0.28317110546315893,0.0001877732382711364,5.317195545763484e-05,204,239.0,1.0,5.0,8.0,10.0
SKU-11846,0.6410026507041291,8.294498651044583e-05,5.3167956215814e-05,154,177.0,0.0,6.0,8.0,11.0
SKU-04317,1.602117304844285,3.315761180056099e-05,5.3122383652987835e-05,12,12.0,0.0,0.0,0.0,0.0
SKU-09661,3.6942239973145723,1.4347975138788792e-05,5.300463407058644e-05,9,63.0,27.0,63.0,63.0,63.0
SKU-13080,0.498540769386903,0.00010616844678173504,5.2929299143178654e-05,46,107.0,3.0,3.0,3.0,9.0
SKU-10791,0.7295007002703376,7.241863094786326e-05,5.282944198908539e-05,72,184.0,0.0,4.0,5.0,5.0
SKU-04328,1.1808132097989028,4.470187398441701e-05,5.278456330356552e-05,40,39.0,0.0,2.0,2.0,3.0
SKU-02197,1.3081389564390309,4.0349265939084545e-05,5.278244663863499e-05,18,19.0,0.0,0.0,0.0,0.0
SKU-05890,0.6992416543589841,7.542695993031093e-05,5.274167224493942e-05,53,49.0,0.0,0.0,0.0,0.0
SKU-09752,1.0538538858377517,4.9950322094561764e-05,5.2640341038201223e-05,28,25.0,0.0,0.0,3.0,3.0
SKU-04409,0.4476353726666019,0.00011703266018533041,5.238795845622416e-05,95,121.0,3.0,4.0,4.0,4.0
SKU-15032,0.8259482185368957,6.339659839371318e-05,5.236230750458642e-05,116,314.0,1.0,11.0,20.0,20.0
SKU-03903,2.011795164189889,2.591482446385583e-05,5.213531853721499e-05,13,37.0,7.0,25.0,37.0,37.0
SKU-13460,0.7837433547559289,6.649570112763145e-05,5.2115563878617476e-05,64,131.0,3.0,20.0,28.0,36.0
SKU-09295,1.6168112498615697,3.216458484102101e-05,5.2004062618089674e-05,49,105.0,0.0,0.0,10.0,38.0
SKU-13717,0.32662830784641866,0.00015904562260538556,5.19488025819772e-05,223,489.0,3.0,10.0,24.0,31.0
SKU-08871,4.2848588573342905,1.2114484751890109e-05,5.190885729117754e-05,19,40.0,1.0,10.0,14.0,23.0
SKU-01601,0.8775378560110254,5.908754187641268e-05,5.185155481518887e-05,39,36.0,0.0,0.0,0.0,0.0
SKU-11404,0.7276051288544277,7.124189838933756e-05,5.183597065740801e-05,147,383.0,4.0,43.0,43.0,43.0
SKU-00512,0.6364151231270797,8.134740160175946e-05,5.177071660645175e-05,124,131.0,1.0,6.0,8.0,11.0
